"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Get file with incorrect file id","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","20","Delete file","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Files","",""
"","595","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","14","Get file","LMS service","2026-07-07","passed","2026-07-07","Get entities","Files","",""
"","622","Login with correct email and password","LMS service","2026-07-07","passed","2026-07-07","Login","Authentication","",""
"","25","Create course","LMS service","2026-07-07","passed","2026-07-07","Create entity","Courses","",""
"","328","Get courses","LMS service","2026-07-07","passed","2026-07-07","Get entities","Courses","",""
"","307","Create file with empty directory","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","298","Create file with empty filename","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","331","Update course","LMS service","2026-07-07","passed","2026-07-07","Update entity","Courses","",""
"","12","test_get_user_me","LMS service","2026-07-07","passed","2026-07-07","Get entity","Users","",""
"","626","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","22","Create exercise","LMS service","2026-07-07","passed","2026-07-07","Create entity","Exercises","",""
"","327","Get exercises","LMS service","2026-07-07","passed","2026-07-07","Get entities","Exercises","",""
"","326","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","322","Get exercise","LMS service","2026-07-07","passed","2026-07-07","Get entity","Exercises","",""
"","309","Create file","LMS service","2026-07-07","passed","2026-07-07","Create entity","Files","",""
"","17","Update exercise","LMS service","2026-07-07","passed","2026-07-07","Update entity","Exercises","",""
"","19","Delete exercise","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Exercises","",""
